transaction_id,client_id,date,product,quantity,unit_price,total
1,68,2019-01-01,Cheese,5,2.5,12.5
1,68,2019-01-01,Orange Juice,5,3.5,17.5
1,68,2019-01-01,Carrots,5,2.7,13.5
1,68,2019-01-01,Bread,5,2,10
2,4,2019-01-01,Bread,4,2,8
2,4,2019-01-01,Tomatoes,4,5,20
2,4,2019-01-01,Ice Cream,4,5,20
3,17,2019-01-01,Tomatoes,5,5,25
3,17,2019-01-01,Orange Juice,5,3.5,17.5
3,17,2019-01-01,Ice Cream,5,5,25
4,88,2019-01-01,Tomatoes,4,5,20
4,88,2019-01-01,Pasta,4,3,12
4,88,2019-01-01,Ice Cream,4,5,20
4,88,2019-01-01,Carrots,4,2.7,10.8
5,90,2019-01-01,Lettuce,1,2,2
5,90,2019-01-01,Carrots,1,2.7,2.7
5,90,2019-01-01,Pasta,1,3,3
5,90,2019-01-01,Potatoes,1,2.3,2.3
5,90,2019-01-01,Cheese,1,2.5,2.5
6,73,2019-01-01,Lettuce,3,2,6
6,73,2019-01-01,Potatoes,3,2.3,6.8999999999999995
7,67,2019-01-01,Orange Juice,5,3.5,17.5
7,67,2019-01-01,Bread,5,2,10
7,67,2019-01-01,Milk,5,1.5,7.5
7,67,2019-01-01,Ice Cubes,5,1,5
8,25,2019-01-01,Lettuce,5,2,10
8,25,2019-01-01,Orange Juice,5,3.5,17.5
8,25,2019-01-01,Tomatoes,5,5,25
9,26,2019-01-01,Ice Cream,1,5,5
9,26,2019-01-01,Pasta,1,3,3
9,26,2019-01-01,Lettuce,1,2,2
9,26,2019-01-01,Bread,1,2,2
10,13,2019-01-01,Ice Cream,3,5,15
10,13,2019-01-01,Orange Juice,3,3.5,10.5
10,13,2019-01-01,Lettuce,3,2,6
10,13,2019-01-01,Tomatoes,3,5,15
11,94,2019-01-01,Orange Juice,4,3.5,14.0
12,98,2019-01-01,Cheese,1,2.5,2.5
12,98,2019-01-01,Orange Juice,1,3.5,3.5
12,98,2019-01-01,Lettuce,1,2,2
12,98,2019-01-01,Carrots,1,2.7,2.7
12,98,2019-01-01,Bread,1,2,2
13,11,2019-01-01,Orange Juice,3,3.5,10.5
13,11,2019-01-01,Bread,3,2,6
13,11,2019-01-01,Lettuce,3,2,6
14,77,2019-01-01,Cheese,1,2.5,2.5
14,77,2019-01-01,Potatoes,1,2.3,2.3
14,77,2019-01-01,Pasta,1,3,3
14,77,2019-01-01,Orange Juice,1,3.5,3.5
14,77,2019-01-01,Ice Cubes,1,1,1
15,4,2019-01-01,Tomatoes,5,5,25
15,4,2019-01-01,Milk,5,1.5,7.5
15,4,2019-01-01,Ice Cubes,5,1,5
15,4,2019-01-01,Orange Juice,5,3.5,17.5
15,4,2019-01-01,Cheese,5,2.5,12.5
16,32,2019-01-01,Pasta,4,3,12
16,32,2019-01-01,Cheese,4,2.5,10.0
16,32,2019-01-01,Orange Juice,4,3.5,14.0
16,32,2019-01-01,Ice Cream,4,5,20
17,10,2019-01-01,Orange Juice,4,3.5,14.0
18,3,2019-01-01,Cheese,4,2.5,10.0
18,3,2019-01-01,Tomatoes,4,5,20
19,60,2019-01-01,Ice Cubes,5,1,5
20,31,2019-01-01,Carrots,1,2.7,2.7
21,36,2019-01-01,Orange Juice,1,3.5,3.5
21,36,2019-01-01,Carrots,1,2.7,2.7
21,36,2019-01-01,Tomatoes,1,5,5
21,36,2019-01-01,Pasta,1,3,3
21,36,2019-01-01,Lettuce,1,2,2
22,88,2019-01-01,Orange Juice,1,3.5,3.5
